ImageName,Frame,Timestamp,x,y,w,h
ft1_id_11_2024_07_04_18-13-11.000.jpg,0,2024_07_04_18-13-11.000,596,402,36,40
ft1_id_12_2024_07_04_18-13-11.003.jpg,0,2024_07_04_18-13-11.003,247,402,11,6
ft1_id_14_2024_07_04_18-13-11.004.jpg,0,2024_07_04_18-13-11.004,238,398,6,10
ft1_id_20_2024_07_04_18-13-11.006.jpg,0,2024_07_04_18-13-11.006,543,387,36,37
ft1_id_24_2024_07_04_18-13-11.009.jpg,0,2024_07_04_18-13-11.009,299,378,15,19
ft1_id_28_2024_07_04_18-13-11.011.jpg,0,2024_07_04_18-13-11.011,215,374,17,6
ft1_id_32_2024_07_04_18-13-11.014.jpg,0,2024_07_04_18-13-11.014,296,364,14,9
ft1_id_37_2024_07_04_18-13-11.016.jpg,0,2024_07_04_18-13-11.016,406,344,29,136
ft1_id_38_2024_07_04_18-13-11.019.jpg,0,2024_07_04_18-13-11.019,250,342,107,113
ft1_id_48_2024_07_04_18-13-11.021.jpg,0,2024_07_04_18-13-11.021,345,302,15,8
ft1_id_53_2024_07_04_18-13-11.023.jpg,0,2024_07_04_18-13-11.023,183,293,104,68
ft1_id_54_2024_07_04_18-13-11.026.jpg,0,2024_07_04_18-13-11.026,378,292,33,25
ft1_id_58_2024_07_04_18-13-11.028.jpg,0,2024_07_04_18-13-11.028,334,288,10,15
ft1_id_68_2024_07_04_18-13-11.030.jpg,0,2024_07_04_18-13-11.030,241,278,18,10
ft1_id_70_2024_07_04_18-13-11.033.jpg,0,2024_07_04_18-13-11.033,321,275,4,13
ft1_id_76_2024_07_04_18-13-11.035.jpg,0,2024_07_04_18-13-11.035,341,265,15,19
ft1_id_78_2024_07_04_18-13-11.037.jpg,0,2024_07_04_18-13-11.037,356,263,32,16
ft1_id_84_2024_07_04_18-13-11.039.jpg,0,2024_07_04_18-13-11.039,359,252,32,15
ft1_id_85_2024_07_04_18-13-11.041.jpg,0,2024_07_04_18-13-11.041,215,251,28,27
ft1_id_88_2024_07_04_18-13-11.045.jpg,0,2024_07_04_18-13-11.045,184,246,6,18
ft1_id_92_2024_07_04_18-13-11.048.jpg,0,2024_07_04_18-13-11.048,300,240,18,8
ft1_id_103_2024_07_04_18-13-11.051.jpg,0,2024_07_04_18-13-11.051,183,233,49,43
ft1_id_104_2024_07_04_18-13-11.054.jpg,0,2024_07_04_18-13-11.054,173,233,11,22
ft1_id_108_2024_07_04_18-13-11.061.jpg,0,2024_07_04_18-13-11.061,336,225,8,7
ft1_id_111_2024_07_04_18-13-11.069.jpg,0,2024_07_04_18-13-11.069,311,215,42,69
ft1_id_130_2024_07_04_18-13-11.073.jpg,0,2024_07_04_18-13-11.073,230,145,8,3
ft1_id_134_2024_07_04_18-13-11.079.jpg,0,2024_07_04_18-13-11.079,400,131,42,124
ft1_id_136_2024_07_04_18-13-11.082.jpg,0,2024_07_04_18-13-11.082,245,129,135,23
ft1_id_138_2024_07_04_18-13-11.090.jpg,0,2024_07_04_18-13-11.090,45,119,147,9
@END@
